_id,city,city_area,gdp,province,reg_pop,resident_pop,builtup_area
80431f7a64c8a4f102204a1c69950355,安康,23391,772.46,陕西,304.8,265,40
80431f7a64c8a4f102204a1d6ad228e0,商洛,19851,621.83,陕西,251,235.74,26
80431f7a64c8a4f102204a1e600ac7a8,西安,10106,5810.03,陕西,815.66,870.56,500.59
80431f7a64c8a4f102204a1f755d06ea,铜川,3882,324.54,陕西,83.64,84.62,44
80431f7a64c8a4f102204a2026e51809,榆林,43578,2621.29,陕西,377.46,340.11,70
80431f7a64c8a4f102204a212c929d9c,咸阳,10246,2155.91,陕西,527.59,497.24,90.12
80431f7a64c8a4f102204a225ff80ab0,宝鸡,18117,1788.59,陕西,384.54,376.33,87
80431f7a64c8a4f102204a237790ec84,渭南,13134,1469.08,陕西,556.72,535.99,71
80431f7a64c8a4f102204a240f9a0048,延安,36712,1198.63,陕西,235.5,223.13,36
80431f7a64c8a4f102204a253b7c8b63,汉中,27246,1064.83,陕西,385.21,343.81,36
80431f7a64c8a4f102204a267a3245e3,上海,6341,24964.99,上海,1433.62,2415.27,1563
80431f7a64c8a4f102204a2752711799,北京,16410,22968.6,北京,1347.9,2170.5,1401.01
80431f7a64c8a4f102204a282e25d8c5,广州,7434,18100.4,广东,854.19,1350.11,1237.25
80431f7a64c8a4f102204a297d757863,深圳,1997,17502.8,广东,369.64,1137.87,900
80431f7a64c8a4f102204a2a7aeab03d,天津,11760,16538.19,天津,1026.91,1546.95,885.43
80431f7a64c8a4f102204a2b43f29f76,重庆,82137,15719.72,重庆,3371.84,3016.55,1329.45
80431f7a64c8a4f102204a2c4a54002b,苏州,8657,14504.07,江苏,667.01,1061.6,458.29
80431f7a64c8a4f102204a2d3742aafc,武汉,8494,10905.6,湖北,829.27,1060.77,566.13
80431f7a64c8a4f102204a2e7eed0761,成都,12119,10801.16,四川,1228.1,1465.75,615.71
80431f7a64c8a4f102204a2f381e5163,杭州,16596,10050.21,浙江,723.55,901.8,506.09
80431f7a64c8a4f102204a305bdad946,南京,6587,9720.77,江苏,653.4,823.59,755
80431f7a64c8a4f102204a3130ad6764,青岛,3231,9300.07,山东,783.09,909.7,566.4
80431f7a64c8a4f102204a3261b36ac2,无锡,4627,8518.26,江苏,480.9,651.1,329.43
80431f7a64c8a4f102204a337df20ed2,长沙,11820,8510.13,湖南,651.19,743.18,312.3
80431f7a64c8a4f102204a340c6692d9,佛山,3868,8003.9,广东,388.97,743.06,158.05
80431f7a64c8a4f102204a356fbe0dfc,宁波,9816,8003.61,浙江,586.57,782.5,321.91
80431f7a64c8a4f102204a3666fd2e00,大连,13237,7731.64,辽宁,593.6,698.55,395.5
80431f7a64c8a4f102204a3754bbb21b,郑州,7446,7311.52,河南,770,957,437.6
80431f7a64c8a4f102204a384da7b88c,沈阳,12948,7272.31,辽宁,730.4,828.9,465
80431f7a64c8a4f102204a39362bbf40,烟台,2722,6446.08,山东,653.28,701.41,324
80431f7a64c8a4f102204a3a694dd9ca,重庆主城九区,5473,6394.47,重庆,652.19,834.82,593
80431f7a64c8a4f102204a3b6f90ea9d,东莞,2465,6275,广东,195.01,825.41,932.05
80431f7a64c8a4f102204a3c2d426350,南通,10549,6148.4,江苏,766.77,730,204.72
80431f7a64c8a4f102204a3d2220f8ca,泉州,11245,6137.71,福建,722.45,847.5,206.5
80431f7a64c8a4f102204a3e3f1345a0,唐山,13472,6103.06,河北,733.9,780.12,249
80431f7a64c8a4f102204a3f613d9486,济南,3257,6100.23,山东,625.73,713.2,393
80431f7a64c8a4f102204a403d7014d6,合肥,11445,5660.27,安徽,717.72,778.95,416
80431f7a64c8a4f102204a410d97d827,福州,11763,5618.08,福建,678.37,746.5,260.05
80431f7a64c8a4f102204a4264d0c78d,长春,20594,5530.03,吉林,753.84,753.84,506.33
80431f7a64c8a4f102204a435b35e8bb,石家庄,15848,5440.59,河北,977.41,1070.16,278.05
80431f7a64c8a4f102204a444d67def9,徐州,11765,5319.88,江苏,1028.7,866.9,255.2
80431f7a64c8a4f102204a456b1e6ef4,常州,4372,5273.15,江苏,370.85,470.14,250.31
80431f7a64c8a4f102204a4610a1766f,潍坊,2006,5170.53,山东,893.71,927.72,178
80431f7a64c8a4f102204a471c7416a9,温州,12065,4618.08,浙江,811.21,911.7,238.4
80431f7a64c8a4f102204a487b860e34,绍兴,8279,4465.97,浙江,443.11,496.8,199.4
80431f7a64c8a4f102204a4962f692bf,鄂尔多斯市,86800,4226.13,内蒙古,204.51,204.51,116.42
80431f7a64c8a4f102204a4a138f2f40,盐城,16931,4212.5,江苏,828.03,722.85,142.37
80431f7a64c8a4f102204a4b1ef9e5ad,淄博,2989,4130.24,山东,429.6,464.2,267
80431f7a64c8a4f102204a4c19171582,扬州,6591,4016.84,江苏,461.12,448.36,140
80431f7a64c8a4f102204a4d799cf920,济宁,1648,4013.12,山东,867.44,829.92,193.8
80431f7a64c8a4f102204a4e6d28447b,南昌,7402,4000.01,江西,517.13,530.29,307.3
80431f7a64c8a4f102204a4f6675f261,临沂,2657,3763.17,山东,1124.04,1031.16,213
80431f7a64c8a4f102204a5019565c65,包头市,27700,3721.93,内蒙古,282.93,282.93,195.79
80431f7a64c8a4f102204a5133cf9e5b,泰州,5787,3687.9,江苏,507.85,464.16,104.7
80431f7a64c8a4f102204a5214d5799b,台州,9411,3553.85,浙江,597.49,604.9,139.8
80431f7a64c8a4f102204a533a28d5e8,嘉兴,3915,3517.81,浙江,349.48,458.5,115.78
80431f7a64c8a4f102204a54044fadd2,镇江,3840,3502.48,江苏,271.67,317.65,137.5
80431f7a64c8a4f102204a5504a27174,洛阳,15200,3469.03,河南,700,674,209.37
80431f7a64c8a4f102204a56525e7fc4,厦门,1652,3466.03,福建,211.15,383.5,317.1
80431f7a64c8a4f102204a5755f20dbf,东营,3294,3450.64,山东,190.62,211.06,118.7
80431f7a64c8a4f102204a587c44923b,南宁,22099,3410.08,广西,740.23,695,287
80431f7a64c8a4f102204a594ee2a877,金华,10942,3402.34,浙江,478.09,545.4,80.2
80431f7a64c8a4f102204a5a6e2d97ea,宜昌,21084,3384.8,湖北,398.18,411.5,165.12
80431f7a64c8a4f102204a5b185572d0,襄阳,19724,3382.12,湖北,591.58,561.4,164.04
80431f7a64c8a4f102204a5c28f61d70,沧州,13419,3320.63,河北,717.5,744.3,41
80431f7a64c8a4f102204a5d676a4ba8,保定,22100,3300.56,河北,1155.28,1155.24,185.7
80431f7a64c8a4f102204a5e4021b06f,泰安,2087,3158.39,山东,565.71,560.08,130.7
80431f7a64c8a4f102204a5f3d3cef59,邯郸,12000,3145.43,河北,942.77,943.3,127.03
80431f7a64c8a4f102204a606a2ef9e1,惠州,11200,3140,广东,357.07,475.55,238.89
80431f7a64c8a4f102204a615846c49f,呼和浩特市,17200,3090.52,内蒙古,305.96,305.96,260
80431f7a64c8a4f102204a6205ba910e,中山,1784,3010,广东,158.68,320.96,138.89
80431f7a64c8a4f102204a631a4f1fcf,威海,2606,3001.57,山东,254.75,280.53,192.6
80431f7a64c8a4f102204a6424179b9b,贵阳,8034,2891.16,贵州,391.88,462.18,299
80431f7a64c8a4f102204a65365eaf64,岳阳,15019,2886.28,湖南,564.89,562.92,97
